network,state,site_name,description,start,end,latitude,longitude,elev,county,site_id,date,snow_water_equivalent,precipitation_cumulative,temperature_max,temperature_min,temperature_mean,precipitation,latitude_copy
SNTL,WA,june lake,Swift Creek (170800020304),1980-10-01,2023-11-28,46.15,-122.15,1049,Skamania,553,2023-04-24,1925.3,3269,8.6,1.1,3.3,5.1,46.15
SNTL,WA,potato hill,Muddy Fork Cispus River (170800040303),1980-10-01,2023-11-28,46.35,-121.51,1375,Yakima,702,2023-04-10,1008.4,1163.3,6.2,0.3,3.1,17.8,46.35
SNTL,WA,sheep canyon,Headwaters South Fork Toutle River (170800050601),1980-10-01,2023-11-28,46.19,-122.25,1216,Cowlitz,748,2023-04-25,1615.4,2984.5,11,0.4,4.2,0,46.19
SNTL,WA,spencer meadow,Cussed Hollow-Lewis River (170800020108),1980-10-01,2023-11-28,46.18,-121.93,1036,Skamania,776,2023-04-24,993.1,1869.4,6.9,0.8,3.3,0,46.18
SNTL,WY,cold springs,North Fork Bull Lake Creek (100800010702),1980-10-01,2023-11-28,43.28,-109.45,2935,Fremont,405,2023-04-08,228.6,269.2,6.1,-3.8,0.2,0,43.28
SNTL,WY,cottonwood creek,Lower Crow Creek-Salt River (170401050102),1980-10-01,2023-11-28,42.65,-110.81,2338,Lincoln,419,2023-04-26,701,792.5,12.6,-1.6,4,0,42.65
SNTL,AZ,promontory,Upper Willow Creek (150200080306),1979-10-01,2023-11-28,34.37,-111.01,2421,Coconino,705,2023-03-28,485.1,937.3,11.3,-1.4,5.3,0,34.37
SNTL,CA,dismal swamp,Dismal Creek-Deep Creek (171200070304),1979-10-01,2023-11-28,41.99,-120.18,2243,Modoc,446,2023-04-11,1163.3,1046.5,5.3,-1.9,1.6,12.7,41.99
SNTL,CA,fallen leaf,Fallen Leaf Lake-Frontal Lake Tahoe (160501010401),1979-10-01,2023-11-28,38.93,-120.05,1903,El Dorado,473,2023-03-10,530.9,1071.9,6,2.4,4.3,33,38.93
SNTL,CA,palisades tahoe,Squaw Creek-Truckee River (160501020202),1979-10-01,2023-11-28,39.19,-120.27,2442,Placer,784,2023-04-09,1894.8,1714.5,17.8,4.2,9.5,0,39.19
SNTL,CA,ward creek #3,Ward Creek-Frontal Lake Tahoe (160501010403),1979-10-01,2023-11-28,39.14,-120.22,2056,Placer,848,2023-04-08,1785.6,2159,12.4,-1.1,4.5,0,39.14
SNTL,CO,apishapa,Middle Creek-Cucharas River (110200060406),1979-10-01,2023-11-28,37.33,-105.07,3056,Huerfano,303,2023-02-28,78.7,200.7,-2.1,-7.1,-5,0,37.33
SNTL,CO,bear lake,Glacier Creek (101900060201),1979-10-01,2023-11-28,40.31,-105.65,2902,Larimer,322,2023-04-07,602,533.4,7.2,-3.9,1.3,0,40.31
SNTL,CO,beartown,Bear Creek-Rio Grande (130100010104),1979-10-01,2023-11-28,37.71,-107.51,3536,San Juan,327,2023-04-29,823,800.1,9.3,-3.6,2.9,2.54,37.71
SNTL,CO,brumley,North Fork Lake Creek (110200010101),1979-10-01,2023-11-28,39.09,-106.54,3229,Lake,369,2023-04-10,274.3,322.6,12.3,-7.9,1,0,39.09
SNTL,CO,butte,Washington Gulch-Slate River (140200010206),1979-10-01,2023-11-28,38.89,-106.95,3109,Gunnison,380,2023-04-09,533.4,533.4,9.2,-2.3,2.4,0,38.89
SNTL,CO,copeland lake,Headwaters North Saint Vrain Creek (101900050202),1979-10-01,2023-11-28,40.21,-105.57,2608,Boulder,412,2023-03-27,205.7,320,-4,-11.4,-9,0,40.21
SNTL,CO,cumbres trestle,Wolf Creek (130201020203),1979-10-01,2023-11-28,37.02,-106.45,3059,Conejos,431,2023-04-09,1046.5,889,11.3,-7.4,1.7,0,37.02
SNTL,CO,dry lake,City of Steamboat Springs-Yampa River (140500010409),1979-10-01,2023-11-28,40.53,-106.78,2521,Routt,457,2023-04-08,866.1,797.6,8.6,-2.5,2.4,0,40.53
SNTL,CO,fremont pass,Upper Tenmile Creek (140100020301),1979-10-01,2023-11-28,39.38,-106.2,3452,Summit,485,2023-05-16,434.3,462.3,10.3,0.2,3.8,2.5,39.38
SNTL,CO,grizzly peak,North Fork Snake River (140100020201),1979-10-01,2023-11-28,39.65,-105.87,3395,Summit,505,2023-04-29,485.1,429.3,7.8,-5.3,2,0,39.65
SNTL,CO,hoosier pass,Headwaters Middle Fork South Platte River (101900010102),1979-10-01,2023-11-28,39.36,-106.06,3539,Summit,531,2023-04-29,368.3,381,9.4,-7.4,1.7,0,39.36
SNTL,CO,idarado,Red Mountain Creek (140200060201),1979-10-01,2023-11-28,37.93,-107.68,2991,Ouray,538,2023-04-07,480.1,538.5,9.1,-7.4,0.8,0,37.93
SNTL,CO,independence pass,Lincoln Creek (140100040101),1979-10-01,2023-11-28,39.08,-106.61,3230,Pitkin,542,2023-04-12,449.6,442,12.6,-3.1,3.6,0,39.08
SNTL,CO,kiln,Deeds Creek-Fryingpan River (140100040504),1979-10-01,2023-11-28,39.32,-106.62,2933,Pitkin,556,2023-04-07,360.7,396.2,9,-14.8,-1.6,0,39.32
SNTL,CO,lily pond,Headwaters Alamosa River (130100020302),1979-10-01,2023-11-28,37.38,-106.55,3374,Conejos,580,2023-04-10,528.3,599.4,13.8,-2.1,5.7,0,37.38
SNTL,CO,lizard head pass,Headwaters Dolores River (140300020201),1979-10-01,2023-11-28,37.8,-107.92,3107,Dolores,586,2023-04-11,581.7,467.4,14.6,-3.2,5.1,0,37.8
SNTL,CO,lone cone,Headwaters Beaver Creek (140300030302),1979-10-01,2023-11-28,37.89,-108.2,2973,San Miguel,589,2023-04-07,721.4,708.7,9.7,-9.5,1.5,0,37.89
SNTL,CO,lynx pass,Headwaters Rock Creek (140100011001),1979-10-01,2023-11-28,40.08,-106.67,2719,Routt,607,2023-04-07,350.5,360.7,8.3,-16.1,-1.8,0,40.08
SNTL,CO,mc clure pass,Lee Creek (140200040203),1979-10-01,2023-11-28,39.13,-107.29,2674,Gunnison,618,2023-04-09,734.1,703.6,11.3,-1,4.9,0,39.13
SNTL,CO,middle creek,Headwaters Red Mountain Creek (130100010501),1979-10-01,2023-11-28,37.62,-107.04,3435,Mineral,624,2023-04-10,635,688.3,10.3,-5.6,3.3,0,37.62
SNTL,CO,niwot,North Boulder Creek (101900050401),1979-10-01,2023-11-28,40.04,-105.55,3042,Boulder,663,2023-04-28,348,436.9,3.5,-6.2,-0.4,0,40.04
SNTL,CO,park cone,Taylor Park Reservoir (140200010107),1979-10-01,2023-11-28,38.82,-106.59,2932,Gunnison,680,2023-04-13,378.5,416.6,12.1,-1.2,4.6,0,38.82
SNTL,CO,phantom valley,Headwaters Colorado River (140100010302),1979-10-01,2023-11-28,40.4,-105.85,2757,Grand,688,2023-04-07,340.4,355.6,8.4,-16.1,-3,0,40.4
SNTL,CO,red mountain pass,Mineral Creek (140801040103),1979-10-01,2023-11-28,37.89,-107.71,3377,San Juan,713,2023-04-29,789.9,876.3,11.9,-4.3,3.7,0,37.89
SNTL,CO,roach,Laramie River-Stuck Creek (101800100106),1979-10-01,2023-11-28,40.87,-106.05,2969,Larimer,718,2023-04-09,485.1,538.5,7.6,-2.6,1.9,0,40.87
SNTL,CO,slumgullion,Headwaters Cebolla Creek (140200020502),1979-10-01,2023-11-28,37.99,-107.2,3523,Hinsdale,762,2023-04-12,358.1,348,9.8,0.3,4.3,0,37.99
SNTL,CO,summit ranch,Rock Creek-Blue River (140100020502),1979-10-01,2023-11-28,39.72,-106.16,2856,Summit,802,2023-04-08,340.4,355.6,8.7,-4.6,1.4,0,39.72
SNTL,CO,whiskey ck,North Fork Purgatoire River (110200100102),1979-10-01,2023-11-28,37.21,-105.12,3136,Las Animas,857,2023-04-03,233.7,355.6,8.7,-0.4,3.7,0,37.21
SNTL,CO,willow park,Fall River (101900060204),1979-10-01,2023-11-28,40.43,-105.74,3271,Larimer,870,2023-04-30,629.9,716.3,11.2,-2.3,3.5,0,40.43
SNTL,ID,banner summit,Canyon Creek (170501200202),1979-10-01,2023-11-28,44.3,-115.23,2146,Boise,312,2023-04-24,797.6,838.2,9.7,-0.9,1.7,7.6,44.3
SNTL,ID,bear basin,Upper Goose Creek (170602100104),1979-10-01,2023-11-28,44.95,-116.14,1631,Adams,319,2023-04-03,523.2,576.6,-0.5,-10.4,-5.2,0,44.95
SNTL,ID,bear canyon,Upper Star Hope Creek (170402180101),1979-10-01,2023-11-28,43.74,-113.94,2408,Custer,320,2023-04-24,513.1,614.7,9.3,-1.5,2.1,0,43.74
SNTL,ID,bear mountain,Middle Lightning Creek (170102131202),1979-10-01,2023-11-28,48.31,-116.07,1646,Bonner,323,2023-04-29,1043.9,1366.5,18.2,6.7,12,0,48.31
SNTL,ID,bear saddle,Upper Mann Creek (170501241001),1979-10-01,2023-11-28,44.61,-116.98,1884,Washington,324,2023-04-26,916.9,820.4,13.7,1.5,6.6,0,44.61
SNTL,ID,big creek summit,Curtis Creek (170602080402),1979-10-01,2023-11-28,44.63,-115.8,1999,Valley,338,2023-04-27,894.1,754.4,14.2,0.9,7.3,0,44.63
SNTL,ID,bostetter r.s.,Upper Big Cottonwood Creek (170402120201),1979-10-01,2023-11-28,42.16,-114.19,2286,Cassia,359,2023-04-11,662.9,614.7,14.3,3.6,8.6,0,42.16
SNTL,ID,crab creek,Upper Camas Creek (170402140108),1979-10-01,2023-11-28,44.44,-111.99,2103,Clark,424,2023-04-07,525.8,574,4.8,-6.2,-0.7,2.5,44.44
SNTL,ID,dollarhide summit,Placer Creek-Warm Springs Creek (170402190201),1979-10-01,2023-11-28,43.6,-114.67,2566,Blaine,450,2023-04-27,871.2,617.2,10.4,2.2,6,0,43.6
SNTL,ID,emigrant summit,Williams Creek (160102020206),1979-10-01,2023-11-28,42.36,-111.56,2252,Bear Lake,471,2023-04-25,1023.6,909.3,7.3,-6.1,-0.3,2.5,42.36
SNTL,ID,galena,Headwaters Big Wood River (170402190101),1979-10-01,2023-11-28,43.88,-114.67,2277,Blaine,489,2023-04-19,533.4,518.2,5.2,-16.1,-6.5,0,43.88
SNTL,ID,garfield r.s.,Upper Muldoon Creek (170402210301),1979-10-01,2023-11-28,43.61,-113.93,1999,Blaine,492,2023-04-08,429.3,444.5,10.3,-3.3,2.4,0,43.61
SNTL,ID,giveout,Upper Montpelier Creek (160102010401),1979-10-01,2023-11-28,42.41,-111.17,2112,Bear Lake,493,2023-04-10,426.7,411.5,17.6,-4,4.9,0,42.41
SNTL,ID,hilts creek,Upper Wet Creek (170402170401),1979-10-01,2023-11-28,44.02,-113.47,2438,Custer,524,2023-04-25,482.6,502.9,7.8,-1.6,2.4,0,44.02
SNTL,ID,hyndman,Hyndman Creek (170402190402),1979-10-01,2023-11-28,43.71,-114.16,2323,Blaine,537,2023-04-07,457.2,475,8.6,-11.8,-1.7,0,43.71
SNTL,ID,island park,Split Creek (170402020601),1979-10-01,2023-11-28,44.42,-111.39,1917,Fremont,546,2023-04-07,548.6,591.8,11.2,-18.3,-1.4,2.5,44.42
SNTL,ID,jackson peak,Fivemile Creek-South Fork Payette River (170501200304),1979-10-01,2023-11-28,44.05,-115.44,2155,Boise,550,2023-04-27,861.1,975.4,12.4,3.6,7.7,0,44.05
SNTL,ID,lost lake,Lost Lake-Little North Fork Clearwater River (170603080101),1979-10-01,2023-11-28,47.08,-115.96,1862,Shoshone,600,2023-04-26,1364,1397,11.5,1.3,5.9,0,47.08
SNTL,ID,lost-wood divide,Trail Creek (170402190304),1979-10-01,2023-11-28,43.82,-114.26,2408,Blaine,601,2023-04-23,688.3,614.7,10.5,-8.2,0.9,2.5,43.82
SNTL,ID,magic mountain,Headwaters Rock Creek (170402120601),1979-10-01,2023-11-28,42.18,-114.29,2097,Twin Falls,610,2023-04-09,789.9,657.9,15.3,-1.9,5,0,42.18
SNTL,ID,meadow lake,Upper Texas Creek (170602040101),1979-10-01,2023-11-28,44.44,-113.32,2789,Lemhi,620,2023-04-27,530.9,569,9.9,-2.3,3.2,0,44.44
SNTL,ID,moonshine,Upper Sawmill Creek (170402170201),1979-10-01,2023-11-28,44.41,-113.4,2268,Lemhi,636,2023-04-10,398.8,406.4,11.7,-4.9,2.9,0,44.41
SNTL,ID,moose creek,Upper North Fork Salmon River (170602030601),1979-10-01,2023-11-28,45.67,-113.95,1890,Lemhi,638,2023-04-07,459.7,459.7,10,-9.5,-0.1,0,45.67
SNTL,ID,morgan creek,Headwaters Panther Creek (170602030901),1979-10-01,2023-11-28,44.84,-114.27,2316,Lemhi,639,2023-04-10,386.1,411.5,13.4,0.7,7,0,44.84
SNTL,ID,mountain meadows,Headwaters Meadow Creek (170603020301),1979-10-01,2023-11-28,45.7,-115.23,1926,Idaho,650,2023-04-26,685.8,805.2,15,-7,4.3,0,45.7
SNTL,ID,mud flat,Upper Pole Creek (170501041401),1979-10-01,2023-11-28,42.6,-116.56,1747,Owyhee,654,2023-04-07,205.7,254,7.7,-2.4,2.6,0,42.6
SNTL,ID,oxford spring,Lower Deep Creek (160102040206),1979-10-01,2023-11-28,42.26,-112.13,2054,Oneida,677,2023-04-08,622.3,706.1,13.5,2.6,6.7,0,42.26
SNTL,ID,prairie,Lower Smith Creek (170501131103),1979-10-01,2023-11-28,43.51,-115.57,1463,Elmore,704,2023-04-06,221,434.3,4.5,-10.5,-2.8,0,43.51
